CellID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96
Il-22	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	23.91078546	N.D.	N.D.	N.D.	24.15564215	N.D.	23.05050015	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
Lta	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	14.75126177	12.87593019	15.33916478	11.80994661	13.35450281	16.52608297	12.70221191	16.88817755	11.65225055	16.2401178	17.76324355	14.86962997	14.14114348	N.D.	N.D.	11.99521358	11.79064823	18.66224525	9.213477987	9.466251149	10.85563704	10.56597626	9.765430721	11.53528446	N.D.	16.44009923	N.D.	13.02959486	11.98995985	13.69086702	17.05762623	17.46936832	20.86935416	N.D.	N.D.	11.38714602	16.68566697	17.53794731	16.42530924	13.49856371	14.57625241	13.84634578	18.48208916	N.D.	N.D.	16.18400523	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	19.43998407	19.25143074	19.35980588	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	16.28413708	N.D.	19.51104106	N.D.	26.25470296	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	27.41590153	N.D.	N.D.	N.D.	N.D.	N.D.	19.67276363	N.D.	N.D.
Rank	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	19.75457914	17.41153859	18.78479277	19.44268965	19.70465226	N.D.	18.24059705	N.D.	N.D.	N.D.	N.D.	17.53476721	18.46451123	N.D.	N.D.	18.58231086	N.D.	18.5502701	16.39598582	16.2311953	15.76514555	17.69414555	16.08985788	16.26109653	N.D.	N.D.	N.D.	19.35814816	20.10142837	19.54971601	18.19671265	N.D.	19.48538826	19.91269617	N.D.	19.3474514	N.D.	18.48472725	19.33251758	19.53163901	N.D.	19.65585741	19.72273905	N.D.	N.D.	19.71106671	N.D.	N.D.	N.D.	19.87066447	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	19.26974408	19.41500813	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
Glis3	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	20.1999103	18.0656109	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	16.11467201	19.79764744	18.91194826	17.54091227	20.40436549	16.01449546	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	20.44915942	N.D.	N.D.	N.D.	N.D.	N.D.	17.90553325	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	20.14697123	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
H19	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	13.16405939	15.49391921	13.29665581	12.81330097	14.50473738	12.79079707	19.83233163	19.78403082	N.D.	N.D.	N.D.	N.D.	N.D.	16.50624114	17.77978382	16.68002719	19.87561067	19.50353913	N.D.	N.D.	20.08993208	N.D.	N.D.	N.D.	16.2477504	18.28799085	16.7968868	14.99890646	15.89489429	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	15.27057719	17.92483403	16.37304796	N.D.	16.69749864	19.9309461	20.53869799	21.34768041	N.D.	19.41863239	N.D.	N.D.	18.01751829	14.13649221	N.D.	17.2393136	19.6177174	N.D.	N.D.	17.25626602	N.D.	18.12247983	17.71647876	19.95968044	19.70882613	N.D.	14.34008789	N.D.	19.67443078	18.65169032	17.99089254	17.14554779	17.54652658	N.D.	N.D.	N.D.	N.D.	13.73869704	N.D.	19.43654206	18.74090004	23.11349219	N.D.	N.D.	18.06231199	N.D.	N.D.	N.D.
a4b7	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	15.31689045	17.08120975	16.2791542	15.66257468	16.05555063	16.57884767	11.50930863	10.92170934	11.5465413	11.55604765	12.14916501	11.37126921	14.83474284	14.55590637	15.59252369	15.43156813	17.05140154	17.39918947	12.62548174	12.13017795	11.8385674	12.16058053	12.52333856	12.17485582	N.D.	16.16281726	16.39573282	15.37322851	15.35846141	15.87860352	11.73817386	11.9459507	10.66073475	11.41960303	11.40523571	12.23442599	16.27853336	17.40579827	15.54722283	15.65999763	14.95774538	16.68656971	17.00369873	17.96094926	14.77979229	16.53103592	15.79256321	14.74223649	14.71717532	13.82707585	13.83165975	14.31956507	17.84984823	14.77760221	13.92008254	13.94398733	15.46161125	15.11593124	14.10886459	16.89184009	16.14117664	13.85215612	16.19415967	15.11188274	14.20807841	13.66365228	16.60894065	14.28009187	14.59626164	18.92251586	16.31691501	13.73921172	13.62484848	14.7404786	16.25338598	13.83181146	16.80445435	13.84883277	15.48597354	14.55042294	17.28533458	14.77581017	15.76858079	25.80796343	19.00275979	15.47528402	16.1768279	16.10071227	N.D.	N.D.
Irf8	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	21.36554149	24.49756655	N.D.	N.D.	N.D.	N.D.	N.D.	21.17849072	15.33474809	17.23796514	17.97747704	23.21775556	N.D.	N.D.	22.26857047	N.D.	N.D.	N.D.	18.66854483	18.90542295	21.47387952	18.58340033	18.64701084	19.27170214	N.D.	N.D.	N.D.	22.03048296	22.25880602	18.11229873	17.52931429	13.7703109	14.40819787	13.40176466	15.72587996	14.42924753	21.84702613	N.D.	N.D.	N.D.	N.D.	19.78669823	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	17.97836923	18.04123157	N.D.	21.79374441	16.19974752	20.89557361	24.26908156	N.D.	21.23208056	20.38286522	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	21.24443463	20.3643089	19.98299513	N.D.	N.D.	N.D.	19.20630292	17.98322893	N.D.	N.D.	N.D.	18.89847498	N.D.	N.D.	N.D.	N.D.	N.D.	22.39246803	20.37220028	N.D.	15.37279061	N.D.	N.D.	N.D.	N.D.	N.D.
Pira11	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	17.76240246	23.50876947	21.64845919	25.64920132	38.05212354	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	32.22551497	38.1046232	N.D.	19.42645254	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	23.17479796	21.44355256	22.12464228	18.30481071	N.D.	19.32543286	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	22.62791939	N.D.	38.24598464	N.D.	N.D.	19.93107097	19.55206431	N.D.	N.D.	N.D.	37.3432557	N.D.	N.D.	N.D.	N.D.	N.D.	33.50184845	N.D.	N.D.	23.58918712	N.D.	N.D.	N.D.	34.27149235	N.D.	N.D.	22.54225289	N.D.	24.18932981	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	18.81541548	17.89817628	N.D.	N.D.	N.D.	N.D.
Bcl2	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	16.84889466	17.69475542	18.26431137	19.11905588	18.51932674	15.69759945	14.77636988	13.93735679	15.84363857	16.26611241	14.80529215	20.99853877	17.83534273	17.27270133	16.81056707	16.32851308	18.5894636	14.32790609	14.07326012	13.93004593	14.19568441	14.0117895	14.02560683	N.D.	18.45748418	24.96451238	20.49206573	19.75808269	18.32777036	15.56974204	14.724544	14.27720354	14.62580779	15.95111985	14.9668879	19.29992202	18.00450506	18.54239057	18.04110702	19.21916994	19.40290972	17.40013857	N.D.	17.5799955	19.51328016	N.D.	17.35405678	17.05648883	15.49032211	16.19619471	18.56268204	17.74900166	17.76083996	16.78179535	19.31318156	17.99931995	17.64180125	18.43356882	N.D.	N.D.	17.08573975	N.D.	17.71577334	17.78650233	17.36039513	17.38921541	18.15878147	20.06354774	N.D.	18.97647987	17.00138026	17.64282076	N.D.	19.27635288	16.11556958	N.D.	N.D.	N.D.	18.18614439	18.1643043	16.56239752	N.D.	N.D.	N.D.	19.55146139	N.D.	N.D.	N.D.	N.D.
Foxo1	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	20.68565153	19.60680735	19.82706425	19.29644767	18.48884661	17.50162575	15.83516154	15.91665814	16.56078634	15.50077262	15.69779202	16.63309267	17.41479662	19.08949311	18.22103786	18.13774792	19.6583992	N.D.	15.9353163	14.59916581	15.86033894	16.23583337	15.88261383	14.92168908	N.D.	18.11387569	19.69708272	20.88309338	19.75468875	18.99587174	16.49006302	17.14244206	17.19616613	17.48107501	16.34888165	15.86663761	N.D.	16.09354064	18.41587192	18.96767702	19.81081122	18.98665556	18.72393462	19.90971785	19.81846756	18.3329208	18.84698348	18.36155032	19.25099396	19.82968082	N.D.	20.0829644	18.82357914	N.D.	N.D.	20.99434495	20.36639178	18.33908193	N.D.	20.26647757	20.8669957	19.01612826	18.39560904	N.D.	N.D.	19.71391339	17.64256023	19.56592451	18.79887302	18.66422237	18.29174623	19.6441077	N.D.	N.D.	20.45538221	N.D.	N.D.	17.98781387	21.43926574	18.23234753	21.50828218	21.07399484	18.79359107	26.50372615	17.88514699	N.D.	N.D.	19.31642206	N.D.	N.D.
