CellID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96
CellType	empty	empty	empty	empty	empty	empty	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	10 ILCP	10 ILCP	10 ILCP	10 ILCP	10 ILCP	10 ILCP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	10 LTiP	10 LTiP	10 LTiP	10 LTiP	10 LTiP	10 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	10 a4b7+	10 a4b7+	10 a4b7+	10 a4b7+	10 a4b7+	10 a4b7+	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	empty	empty
Ets1	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	17.46765707	17.65088114	17.61048529	18.12225703	17.32085324	18.18826475	14.32499293	14.30376887	14.27901642	14.19013496	14.13150725	14.37688853	17.35049972	16.52628392	15.81943172	18.91227456	16.55350351	18.16901494	13.80594757	13.79847146	13.92301785	14.47698534	13.71250703	13.63925173	N.D.	16.64278031	18.50105441	17.59432864	17.53495436	16.90056051	15.85500262	16.24733165	16.99571081	18.69873936	16.37840519	16.02688374	17.40672185	16.66879337	17.72199372	17.55729191	17.65866053	17.14108025	16.11327643	17.48065142	18.08862978	16.4155468	17.53545594	19.75216597	N.D.	21.12851612	N.D.	N.D.	18.2006419	N.D.	21.72445494	19.93638966	15.82670648	16.19872258	N.D.	18.95706849	19.04058302	18.08677365	16.93983209	21.67869626	N.D.	N.D.	15.96978776	18.79146942	17.38452081	19.19408447	16.28564817	N.D.	N.D.	17.29124622	18.48667984	N.D.	18.81971523	17.52746671	17.0532377	16.96964682	N.D.	18.61214656	16.14649264	27.07506317	18.79615395	N.D.	N.D.	17.80405517	N.D.	N.D.
Eomes	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	20.15469493	N.D.	N.D.	25.26275902	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	22.86720381	19.86767636	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	27.33873311	22.87151301	N.D.	23.24357139	22.3673334	N.D.	22.75388738	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	22.6524499	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	22.73917983	N.D.	N.D.	N.D.	N.D.
Batf	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	21.93639754	20.53828042	N.D.	21.97907638	N.D.	21.64275481	19.48904994	18.88853911	19.77366592	20.9024846	20.68823352	N.D.	N.D.	N.D.	21.86409357	21.50646069	N.D.	18.51849962	18.58328886	18.76531839	18.24230485	20.62040422	19.22490247	N.D.	N.D.	22.17352692	20.55312865	21.66246529	N.D.	20.43723029	19.98532626	21.84470099	19.55308861	19.42251083	19.19840413	21.36623067	N.D.	N.D.	21.73570365	N.D.	N.D.	N.D.	22.41829107	N.D.	21.74261512	20.98541485	N.D.	N.D.	20.90621344	N.D.	N.D.	21.60035912	N.D.	N.D.	N.D.	20.4901812	20.58133537	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	20.63383084	21.77809629	N.D.	N.D.	N.D.	20.56695385	N.D.	N.D.	N.D.	21.67438846	N.D.	N.D.	21.76190248	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	20.91468186	N.D.	N.D.
Nfatc1	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	19.75659219	19.62272837	18.97708728	N.D.	19.51175649	N.D.	17.12108966	17.05172894	17.09479424	17.15917429	17.45913876	16.94450268	19.47768165	20.45160053	19.04203642	21.72128071	18.62960499	18.96706638	16.14157206	15.759108	16.2419838	16.87935061	15.7132559	16.22450669	N.D.	20.06075437	21.88565717	21.91400504	20.67578434	20.72006259	17.41591504	17.0880538	16.94808886	17.48810371	17.54106014	17.29382644	19.65367103	18.94244171	18.65779247	19.30097344	21.71707468	18.26773633	20.41977269	19.77505097	20.34928382	21.90520596	21.90175202	20.31606137	20.26439531	18.67525529	N.D.	21.65664829	21.67001055	N.D.	21.92088582	21.83960919	19.88365842	22.02325309	20.69420616	21.62908127	21.77648556	20.17526137	20.8938698	20.95231277	20.32702098	19.91706357	19.95305493	19.8401765	21.48477313	N.D.	N.D.	21.30511296	20.77017517	20.91802834	21.58647095	20.7803192	22.55538214	20.96617977	N.D.	20.75561451	21.12945153	22.33961403	19.21105667	N.D.	22.33352919	19.56957899	20.966839	20.40704366	N.D.	N.D.
Hes1	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	17.35202269	17.45450532	16.9871435	17.91725898	19.30275287	16.53611099	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	23.27553945	17.34435458	21.70894108	19.42228504	N.D.	20.68648938	N.D.	22.82592726	19.95695504	N.D.	N.D.	N.D.	17.75103805	18.61496556	20.87987228	N.D.	19.01487267	20.07437525	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	19.84006615	21.81007146	26.5438058	N.D.	21.64971717	20.1232266	N.D.	N.D.	N.D.	22.70472004	N.D.	N.D.	19.24753919	21.88490412	20.65257448	N.D.	17.25918115	N.D.	19.87253653	21.35387935	N.D.	17.74513117	N.D.	N.D.	21.55494586	N.D.	20.02650467	N.D.	N.D.	N.D.	20.17769595	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	19.8446204	N.D.	20.77035731	N.D.	N.D.	22.46630839	N.D.	18.76015373	N.D.	N.D.	N.D.
Lef1	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	21.55162157	N.D.	N.D.	22.2710669	N.D.	21.30697202	N.D.	21.49908234	N.D.	N.D.	N.D.	N.D.	21.1797208	21.51812872	19.3027385	21.78341945	N.D.	22.58123236	N.D.	N.D.	19.62564459	N.D.	N.D.	N.D.	19.89528272	19.48470688	N.D.	N.D.	20.63539605	N.D.	21.52274811	N.D.	N.D.	N.D.	N.D.	20.79997793	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	19.73168551	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	20.66977815	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
Axin2	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	22.58389056	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	22.54297125	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
Sox4	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	22.18213999	N.D.	N.D.	N.D.	21.80229706	20.8862593	15.43495028	14.01099702	15.2087421	16.12236416	15.34885257	15.20133021	20.77469367	18.47940254	N.D.	N.D.	N.D.	21.23001916	21.29340814	17.99030196	16.79817496	16.78665428	18.54161412	17.19126185	N.D.	21.662477	21.66865247	N.D.	N.D.	N.D.	16.09907864	16.19870977	14.59043384	15.42595634	15.32652881	16.09634056	21.634846	N.D.	20.04178275	N.D.	N.D.	21.93996845	N.D.	N.D.	20.39578872	20.14323388	22.09256786	18.29755609	N.D.	19.23842086	18.44447541	18.07564917	20.10216594	18.26446722	16.83261837	N.D.	19.22036115	21.22867435	17.033068	N.D.	19.90444264	19.16691518	N.D.	17.88249185	N.D.	17.42900176	N.D.	N.D.	19.65246959	21.84001286	N.D.	18.68868413	17.48927214	18.86957916	21.32639708	19.62929199	N.D.	22.02950419	N.D.	21.83052062	20.31282449	N.D.	N.D.	N.D.	19.71153829	20.0200636	N.D.	N.D.	N.D.	N.D.
Sox13	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	18.76664529	20.37979905	20.37968202	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	20.59644687	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	21.3556263	20.77911388	21.00082301	N.D.	19.54989336	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	19.41757947	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	20.80906106	20.35887608	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
Sox17	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
