Il-22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.05050015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lta	14.75126177	12.87593019	15.33916478	11.80994661	13.35450281	16.52608297	14.14114348	NA	NA	11.99521358	11.79064823	18.66224525	NA	16.44009923	NA	13.02959486	11.98995985	13.69086702	16.68566697	17.53794731	16.42530924	13.49856371	14.57625241	13.84634578	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.67276363	NA	NA
Rank	19.75457914	17.41153859	18.78479277	19.44268965	19.70465226	NA	18.46451123	NA	NA	18.58231086	NA	18.5502701	NA	NA	NA	19.35814816	20.10142837	19.54971601	NA	18.48472725	19.33251758	19.53163901	NA	19.65585741	NA	19.87066447	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Glis3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.90553325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.14697123	NA	NA	NA	NA	NA	NA
H19	NA	NA	NA	NA	NA	NA	19.83233163	19.78403082	NA	NA	NA	NA	NA	NA	20.08993208	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.53869799	21.34768041	NA	19.41863239	NA	NA	NA	17.25626602	NA	18.12247983	17.71647876	19.95968044	17.99089254	17.14554779	17.54652658	NA	NA	NA	NA	NA	18.06231199	NA	NA	NA
a4b7	15.31689045	17.08120975	16.2791542	15.66257468	16.05555063	16.57884767	14.83474284	14.55590637	15.59252369	15.43156813	17.05140154	17.39918947	NA	16.16281726	16.39573282	15.37322851	15.35846141	15.87860352	16.27853336	17.40579827	15.54722283	15.65999763	14.95774538	16.68656971	14.71717532	13.82707585	13.83165975	14.31956507	17.84984823	14.77760221	16.14117664	13.85215612	16.19415967	15.11188274	14.20807841	13.66365228	13.62484848	14.7404786	16.25338598	13.83181146	16.80445435	13.84883277	19.00275979	15.47528402	16.1768279	16.10071227	NA	NA
Irf8	21.36554149	24.49756655	NA	NA	NA	NA	NA	NA	22.26857047	NA	NA	NA	NA	NA	NA	22.03048296	22.25880602	18.11229873	21.84702613	NA	NA	NA	NA	19.78669823	17.97836923	18.04123157	NA	21.79374441	16.19974752	20.89557361	NA	NA	NA	NA	21.24443463	20.3643089	NA	NA	NA	18.89847498	NA	NA	15.37279061	NA	NA	NA	NA	NA
Pira11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.62791939	NA	38.24598464	NA	NA	19.93107097	NA	NA	NA	NA	33.50184845	NA	NA	NA	22.54225289	NA	24.18932981	NA	18.81541548	17.89817628	NA	NA	NA	NA
Bcl2	NA	16.84889466	17.69475542	18.26431137	19.11905588	18.51932674	20.99853877	17.83534273	17.27270133	16.81056707	16.32851308	18.5894636	NA	18.45748418	24.96451238	20.49206573	19.75808269	18.32777036	19.29992202	18.00450506	18.54239057	18.04110702	19.21916994	19.40290972	17.05648883	15.49032211	16.19619471	18.56268204	17.74900166	17.76083996	NA	17.08573975	NA	17.71577334	17.78650233	17.36039513	17.64282076	NA	19.27635288	16.11556958	NA	NA	NA	19.55146139	NA	NA	NA	NA
Foxo1	20.68565153	19.60680735	19.82706425	19.29644767	18.48884661	17.50162575	17.41479662	19.08949311	18.22103786	18.13774792	19.6583992	NA	NA	18.11387569	19.69708272	20.88309338	19.75468875	18.99587174	NA	16.09354064	18.41587192	18.96767702	19.81081122	18.98665556	19.25099396	19.82968082	NA	20.0829644	18.82357914	NA	20.8669957	19.01612826	18.39560904	NA	NA	19.71391339	NA	NA	20.45538221	NA	NA	17.98781387	17.88514699	NA	NA	19.31642206	NA	NA
Cdkn1c	NA	18.97572473	NA	NA	NA	NA	18.34083727	NA	NA	NA	NA	19.69431328	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.03762307	NA	NA	NA	NA	15.27269387	19.155058	NA	19.26727127	NA	NA	NA	18.6964474	19.36483527	16.63193062	16.73427175	NA	NA	NA	NA	NA	NA	19.03988731	NA	NA	NA	NA
c-myc	21.12846429	NA	20.05021671	NA	20.4348498	NA	NA	20.82648801	NA	NA	NA	18.82873065	NA	NA	17.79758052	NA	NA	19.03689518	NA	NA	NA	NA	NA	18.78938586	19.8925108	NA	20.28104618	17.60793105	18.21651747	NA	NA	NA	NA	19.6040824	NA	16.79903473	NA	NA	NA	18.71042708	NA	20.85683351	NA	17.38435401	NA	19.85865671	NA	NA
Rag2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.49397377	NA	NA	NA	NA	NA	NA	NA	NA	20.68613388	NA	17.32074714	NA	NA	NA	NA	17.88096323	20.37210776	NA	NA	NA	NA
Il-7r	14.65849785	15.34395674	15.78734761	14.81126804	15.54945348	15.99133519	14.11746354	16.14052599	16.81389634	15.54388947	16.28781457	15.69876731	NA	16.15888264	16.35511235	15.02411075	15.7381541	15.48858394	15.03005385	16.27090771	16.52438006	14.92520015	15.11504769	14.51720184	18.49050051	19.81955715	17.91781065	15.35727589	15.54707136	18.6566921	15.84527334	17.36702216	16.19483404	NA	15.30784989	17.99078866	19.19184429	15.85969612	17.57423962	19.77976072	17.68543895	16.24516934	15.09225161	18.66569447	NA	15.82974788	NA	NA
Aes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tle1	NA	24.54478277	NA	NA	19.6925977	NA	NA	NA	19.37447103	NA	NA	NA	NA	NA	NA	20.37783503	18.58402961	NA	NA	NA	NA	19.50718981	NA	NA	NA	18.41859419	NA	18.03495985	18.7694294	18.0486954	NA	21.35421488	NA	19.7891194	NA	18.44378163	NA	19.3598916	19.50919739	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tle2	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.90694784	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.78010583	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tle3	17.5537015	17.32068547	16.9572328	18.10957482	16.02514541	18.24720498	17.55376825	15.46607598	20.52748385	17.75285461	19.47701692	17.37311508	NA	17.07681898	15.80665738	18.85599979	18.63013771	16.6323331	16.47739367	16.90229209	18.07536142	17.83474457	18.5065144	17.48616589	16.30892801	15.79554914	14.97881731	16.38694297	17.9114029	15.66477673	16.78196989	16.73218325	19.50137973	17.3713859	18.07208313	15.47958249	16.48056224	18.76720623	18.88960113	18.75145216	17.68846078	18.87814662	18.07003965	16.25715622	16.84554447	18.94134416	NA	NA
Tle4	20.23659637	NA	NA	NA	NA	NA	20.26545331	19.67365341	25.26418684	NA	NA	20.1233461	NA	19.864103	19.18843193	NA	20.03187119	20.00319536	NA	NA	20.26551971	NA	NA	NA	18.63024019	19.20595502	18.90563095	NA	20.08067799	18.20562165	NA	NA	NA	20.45906766	NA	20.26594603	18.35651468	18.15510426	18.12082213	20.00361656	20.1353821	18.08731095	NA	18.93648277	NA	NA	NA	NA
