CellID	7	8	9	10	11	12	19	20	21	22	23	24	31	32	33	34	35	36	43	44	45	46	47	48	55	56	57	58	59	60	67	68	69	70	71	72	79	80	81	82	83	84	91	92	93	94	95	96
CellType	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 LTiP	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	1 a4b7+	empty	empty
Id2	21.58934231	19.38461244	20.07712548	20.55366116	19.06827495	22.70399682	21.36475324	19.44564354	19.93243457	19.36892247	19.70809572	20.12383312	NA	19.69663881	18.85827299	19.84704997	22.8126365	20.10891172	20.36976795	19.04720527	20.93939514	20.2773157	20.07925245	20.28696265	19.28172873	18.24822626	18.11517114	19.43076007	NA	21.56311938	19.64456075	19.493416	20.28682563	20.18042148	18.75681617	21.80409841	19.89695334	NA	24.16076186	19.0534422	25.64799006	20.81193606	NA	19.96262397	20.65337939	21.23296748	NA	NA
Tox	17.44426048	16.06851547	18.56631922	19.21081294	17.02988877	17.4517308	16.21298546	14.73377066	16.68599078	17.94956411	17.71795864	16.60006554	NA	15.75720742	15.30226451	16.98359563	17.42333916	17.14393074	16.23976309	16.38680823	18.66885985	17.8724242	17.81583634	16.70398975	16.3659631	14.50317242	15.23140385	13.91736004	19.13732938	14.70727536	17.34405539	13.77235266	17.322514	16.20112388	15.29967026	16.11243654	17.60058892	17.90733821	NA	15.73551653	NA	17.54351263	NA	16.10530461	21.55667486	20.27165391	NA	NA
Cbfb	17.9679248	17.55638301	16.98034357	18.9212873	18.80792657	20.91561971	17.15744345	16.90654617	17.57284579	18.86373441	17.5940306	16.71254062	NA	19.58989238	NA	17.90862298	17.47209471	17.21025631	18.51481159	16.56268246	16.75369267	NA	18.01932279	18.35692234	15.96559282	16.26155645	15.68572112	16.40418556	16.20588013	16.02754935	18.81824291	16.23155836	18.20689412	15.92182872	17.59656208	16.61322088	15.91246918	NA	16.67006939	16.87358975	19.20556315	17.35786084	18.23049162	15.33380725	NA	18.84653677	NA	NA
Pax5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.59949298	NA	NA	NA	NA	NA
Ebf1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Notch1	18.79257007	19.08185526	20.38760191	18.48464141	20.08975623	NA	NA	NA	20.69985915	NA	NA	NA	NA	20.19260546	NA	NA	NA	20.37050231	19.20111727	18.75398577	20.63657286	NA	20.19524808	19.01292393	20.30844053	19.50430535	20.69098747	NA	17.2571741	18.76717692	20.53452772	20.25757907	NA	20.2728668	NA	NA	20.29226061	15.73445773	20.42571462	NA	19.17996559	19.62214737	21.6628536	20.81699807	NA	NA	NA	NA
Notch2	18.9551483	18.41160999	17.36630793	18.25347316	16.73335018	17.44007027	18.35173981	17.62997657	17.82364721	17.31573789	18.94979061	18.36920789	NA	17.33328372	16.68729076	18.98615253	17.20937344	18.76110427	18.71353544	16.63846626	18.25536119	18.66794027	18.59695428	18.60813373	15.24048418	15.18216282	15.59902854	16.16050871	17.32845251	16.1761551	17.64186226	16.09747652	17.33574161	17.25827655	16.74684854	16.10970311	16.27332831	20.20247939	15.92380504	17.79274406	16.29378376	16.73578825	17.62419904	16.84813397	16.90178992	17.51334125	NA	NA
Dtx1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.41195486	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
