CellID	1	2	3	4	5	6	13	14	15	16	17	18	25	26	27	28	29	30	37	38	39	40	41	42	49	50	51	52	53	54	61	62	63	64	65	66	73	74	75	76	77	78	85	86	87	88	89	90
CellType	empty	empty	empty	empty	empty	empty	10 ILCP	10 ILCP	10 ILCP	10 ILCP	10 ILCP	10 ILCP	10 LTiP	10 LTiP	10 LTiP	10 LTiP	10 LTiP	10 LTiP	10 a4b7+	10 a4b7+	10 a4b7+	10 a4b7+	10 a4b7+	10 a4b7+	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP	1 ILCP
Glis3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.1999103	18.0656109	NA	NA	NA	NA	16.11467201	19.79764744	18.91194826	17.54091227	20.40436549	16.01449546	NA	NA	NA	NA	NA	20.44915942	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
H19	NA	NA	NA	NA	NA	NA	13.16405939	15.49391921	13.29665581	12.81330097	14.50473738	12.79079707	NA	16.50624114	17.77978382	16.68002719	19.87561067	19.50353913	16.2477504	18.28799085	16.7968868	14.99890646	15.89489429	NA	15.27057719	17.92483403	16.37304796	NA	16.69749864	19.9309461	18.01751829	14.13649221	NA	17.2393136	19.6177174	NA	19.70882613	NA	14.34008789	NA	19.67443078	18.65169032	NA	13.73869704	NA	19.43654206	18.74090004	23.11349219
a4b7	NA	NA	NA	NA	NA	NA	11.50930863	10.92170934	11.5465413	11.55604765	12.14916501	11.37126921	12.62548174	12.13017795	11.8385674	12.16058053	12.52333856	12.17485582	11.73817386	11.9459507	10.66073475	11.41960303	11.40523571	12.23442599	17.00369873	17.96094926	14.77979229	16.53103592	15.79256321	14.74223649	13.92008254	13.94398733	15.46161125	15.11593124	14.10886459	16.89184009	16.60894065	14.28009187	14.59626164	18.92251586	16.31691501	13.73921172	15.48597354	14.55042294	17.28533458	14.77581017	15.76858079	25.80796343
Irf8	NA	NA	NA	NA	NA	NA	NA	21.17849072	15.33474809	17.23796514	17.97747704	23.21775556	18.66854483	18.90542295	21.47387952	18.58340033	18.64701084	19.27170214	17.52931429	13.7703109	14.40819787	13.40176466	15.72587996	14.42924753	NA	NA	NA	NA	NA	NA	24.26908156	NA	21.23208056	20.38286522	NA	NA	19.98299513	NA	NA	NA	19.20630292	17.98322893	NA	NA	NA	22.39246803	20.37220028	NA
Pira11	NA	NA	NA	NA	NA	NA	17.76240246	23.50876947	21.64845919	25.64920132	38.05212354	NA	NA	NA	32.22551497	38.1046232	NA	19.42645254	23.17479796	21.44355256	22.12464228	18.30481071	NA	19.32543286	NA	NA	NA	NA	NA	NA	19.55206431	NA	NA	NA	37.3432557	NA	NA	23.58918712	NA	NA	NA	34.27149235	NA	NA	NA	NA	NA	NA
Bcl2	NA	NA	NA	NA	NA	NA	15.69759945	14.77636988	13.93735679	15.84363857	16.26611241	14.80529215	14.32790609	14.07326012	13.93004593	14.19568441	14.0117895	14.02560683	15.56974204	14.724544	14.27720354	14.62580779	15.95111985	14.9668879	17.40013857	NA	17.5799955	19.51328016	NA	17.35405678	16.78179535	19.31318156	17.99931995	17.64180125	18.43356882	NA	17.38921541	18.15878147	20.06354774	NA	18.97647987	17.00138026	NA	18.18614439	18.1643043	16.56239752	NA	NA
Foxo1	NA	NA	NA	NA	NA	NA	15.83516154	15.91665814	16.56078634	15.50077262	15.69779202	16.63309267	15.9353163	14.59916581	15.86033894	16.23583337	15.88261383	14.92168908	16.49006302	17.14244206	17.19616613	17.48107501	16.34888165	15.86663761	18.72393462	19.90971785	19.81846756	18.3329208	18.84698348	18.36155032	NA	20.99434495	20.36639178	18.33908193	NA	20.26647757	17.64256023	19.56592451	18.79887302	18.66422237	18.29174623	19.6441077	21.43926574	18.23234753	21.50828218	21.07399484	18.79359107	26.50372615
Cdkn1c	NA	NA	NA	NA	NA	NA	16.53625139	15.15112136	15.91333225	16.87705002	15.41932811	17.05678358	18.58646291	16.57238778	NA	18.09306842	18.96967965	16.85656026	15.43799913	17.89428322	NA	14.14876414	17.92575181	17.12844971	NA	NA	NA	NA	NA	NA	19.92618746	NA	NA	NA	18.88108057	NA	19.76094812	20.7985041	NA	18.06439728	18.05948188	NA	19.56484568	NA	NA	NA	NA	NA
c-myc	NA	NA	NA	NA	NA	NA	14.39321229	14.85015129	14.35769506	15.85184803	14.8595229	14.15797887	17.35918918	15.59203567	16.47106777	16.87806462	17.55885655	15.80175992	14.58786787	15.91591095	13.69991422	13.95564855	14.72358514	16.38010642	17.51234022	17.52679679	16.93694444	19.33721641	20.80886668	15.95988913	NA	NA	NA	20.22552597	19.14681063	20.88244927	NA	NA	17.65621471	18.10963088	20.83031228	21.19980291	18.07059014	20.74266345	18.57325767	18.88319356	20.80618414	28.12428355
Rag2	NA	NA	NA	NA	NA	NA	15.19312786	16.54579522	16.56844492	19.50431655	17.75866449	20.02431386	NA	NA	NA	NA	NA	NA	16.86731667	19.19743931	16.15638496	19.13961555	16.9324723	17.17123072	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Il-7r	NA	NA	NA	NA	NA	NA	13.3650368	12.91971819	12.96213644	13.07390323	13.74238848	13.1758059	11.8593024	12.48798968	11.58481231	12.05038409	11.80738913	11.46259259	13.43530782	14.44548948	13.61869372	13.3294224	13.98986399	13.20581063	17.64731083	16.91293805	17.56849631	14.67568951	16.16708754	18.88687538	17.54602885	17.52018041	13.15099415	14.68087899	NA	17.14587261	14.1397136	NA	17.50358017	17.71230518	NA	17.18113369	16.73967939	18.02706388	18.23293951	18.03217925	16.00892711	NA
Aes	NA	NA	NA	NA	NA	NA	NA	28.51094648	NA	NA	26.50274452	NA	NA	24.68884488	NA	28.05354011	NA	NA	NA	25.78218051	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28.25909715	NA	NA	NA	NA	NA	NA	NA	NA
Tle1	NA	NA	NA	NA	NA	NA	17.3769312	15.65221113	17.20068245	16.09445515	16.61833375	15.01673768	17.6242983	17.00131436	18.51141045	17.93841788	17.06444364	17.47090853	16.02723342	16.55317945	15.40217615	15.96086969	15.91567735	17.07590991	NA	NA	NA	NA	NA	NA	19.23467372	NA	NA	NA	NA	17.25792994	NA	19.63588707	NA	27.76277744	NA	NA	19.4456231	NA	19.3133773	NA	NA	27.48910411
Tle2	NA	NA	NA	NA	NA	NA	26.81792058	NA	19.51758301	NA	20.96942393	20.48052905	22.12434531	NA	NA	20.66745239	20.54126688	26.62056544	20.51989815	NA	NA	20.72233397	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.15964533	NA	NA	NA	NA
Tle3	NA	NA	NA	NA	NA	NA	13.14088949	13.0691364	13.16585856	13.59305978	12.81663176	12.25797783	13.58875172	13.02339122	12.91081999	13.90923467	14.63157202	13.73884811	13.13759587	14.0312154	13.174902	13.53408668	13.69854489	13.66734777	16.81577173	16.54823831	14.60530757	18.19135529	17.1465247	16.08209122	16.65218955	16.20109564	15.90036921	15.22071185	16.61010305	18.23870891	16.59310328	NA	15.49984829	18.87570024	17.65175714	17.29901926	17.40832646	15.26676197	18.18101225	NA	17.92427475	23.84456588
Tle4	NA	NA	NA	NA	NA	NA	15.87966738	14.19885413	15.76723633	15.04972083	15.69394796	14.9854281	16.81306372	16.32532615	16.22715504	17.25762972	17.33294364	16.77849647	15.65378753	15.55398742	14.99201773	15.86927299	15.65869904	15.8748705	18.37972627	19.87596023	NA	20.28305421	17.19657847	18.43748442	18.838223	20.00310616	NA	20.09563091	17.29979554	17.54810845	18.7937824	17.98918504	19.25341968	18.31380292	NA	17.85755413	19.75248471	19.0151996	18.95809914	19.15075255	18.33466352	27.79125072
